date,symptom,n
2019-01-11,s24,241
2019-01-11,s25,0
2019-01-11,s26,0
2019-01-11,s27,0
2019-01-11,s28,311
2019-01-11,s29,881
2019-01-11,s30,637
2019-01-11,s31,0
2019-01-11,s32,0
2019-01-11,s33,1
2019-01-11,s34,0
2019-01-11,s35,1
2019-01-11,s36,135
2019-01-11,s37,28
2019-01-11,s38,0
2019-01-11,s39,3
2019-01-11,s40,0
2019-01-11,s41,0
2019-01-11,s42,40
2019-01-11,s43,2
2019-01-11,s44,0
2019-01-11,s45,15
2019-01-11,s46,0
2019-01-11,s47,0
2019-01-11,s48,0
2019-01-11,s49,255
2019-01-11,s50,0
2019-01-11,s51,0
2019-01-11,s52,0
2019-01-11,s53,0
2019-01-11,s54,0
2019-01-11,s55,243
2019-01-11,s56,358
2019-01-12,s01,0
2019-01-12,s02,0
2019-01-12,s03,0
2019-01-12,s04,0
2019-01-12,s05,23
2019-01-12,s06,773
2019-01-12,s07,8
2019-01-12,s08,0
2019-01-12,s10,2
2019-01-12,s11,787
2019-01-12,s12,4
2019-01-12,s13,1
2019-01-12,s14,139
2019-01-12,s15,3
2019-01-12,s16,0
2019-01-12,s17,0
2019-01-12,s19,0
2019-01-12,s20,12
2019-01-12,s21,4036
2019-01-12,s22,250
2019-01-12,s23,272
2019-01-12,s24,246
2019-01-12,s25,0
2019-01-12,s26,0
2019-01-12,s27,0
2019-01-12,s28,292
2019-01-12,s29,788
2019-01-12,s30,491
2019-01-12,s31,0
2019-01-12,s32,0
2019-01-12,s33,0
2019-01-12,s34,0
2019-01-12,s35,1
2019-01-12,s36,96
2019-01-12,s37,26
2019-01-12,s38,0
2019-01-12,s39,1
2019-01-12,s40,0
2019-01-12,s41,0
2019-01-12,s42,33
2019-01-12,s43,6
2019-01-12,s44,0
2019-01-12,s45,3
2019-01-12,s46,0
2019-01-12,s47,0
2019-01-12,s48,0
2019-01-12,s49,204
2019-01-12,s50,1
2019-01-12,s51,0
2019-01-12,s52,0
2019-01-12,s53,0
2019-01-12,s54,0
2019-01-12,s55,235
2019-01-12,s56,287
2019-01-13,s01,0
2019-01-13,s02,0
2019-01-13,s03,0
2019-01-13,s04,0
2019-01-13,s05,30
2019-01-13,s06,831
2019-01-13,s07,11
2019-01-13,s08,0
2019-01-13,s10,2
2019-01-13,s11,849
2019-01-13,s12,8
2019-01-13,s13,0
2019-01-13,s14,166
2019-01-13,s15,0
2019-01-13,s16,0
2019-01-13,s17,2
2019-01-13,s19,0
2019-01-13,s20,2
2019-01-13,s21,4374
2019-01-13,s22,317
2019-01-13,s23,349
2019-01-13,s24,243
2019-01-13,s25,0
2019-01-13,s26,0
2019-01-13,s27,0
2019-01-13,s28,304
2019-01-13,s29,848
2019-01-13,s30,537
2019-01-13,s31,0
2019-01-13,s32,0
2019-01-13,s33,0
2019-01-13,s34,0
2019-01-13,s35,1
2019-01-13,s36,120
2019-01-13,s37,38
2019-01-13,s38,0
2019-01-13,s39,2
2019-01-13,s40,0
2019-01-13,s41,0
2019-01-13,s42,36
2019-01-13,s43,5
2019-01-13,s44,0
2019-01-13,s45,9
2019-01-13,s46,0
2019-01-13,s47,0
2019-01-13,s48,0
2019-01-13,s49,171
2019-01-13,s50,2
2019-01-13,s51,0
2019-01-13,s52,0
2019-01-13,s53,0
2019-01-13,s54,0
2019-01-13,s55,246
2019-01-13,s56,348
2019-01-14,s01,0
2019-01-14,s02,0
2019-01-14,s03,1
2019-01-14,s04,0
2019-01-14,s05,34
2019-01-14,s06,951
2019-01-14,s07,8
2019-01-14,s08,0
2019-01-14,s10,2
2019-01-14,s11,1025
2019-01-14,s12,11
2019-01-14,s13,0
2019-01-14,s14,152
2019-01-14,s15,1
2019-01-14,s16,0
2019-01-14,s17,5
2019-01-14,s19,0
2019-01-14,s20,7
2019-01-14,s21,5048
2019-01-14,s22,395
2019-01-14,s23,441
2019-01-14,s24,298
2019-01-14,s25,0
2019-01-14,s26,0
2019-01-14,s27,0
2019-01-14,s28,378
2019-01-14,s29,1025
2019-01-14,s30,651
2019-01-14,s31,0
2019-01-14,s32,1
2019-01-14,s33,0
2019-01-14,s34,0
2019-01-14,s35,0
2019-01-14,s36,133
2019-01-14,s37,25
2019-01-14,s38,0
2019-01-14,s39,3
2019-01-14,s40,0
2019-01-14,s41,0
2019-01-14,s42,132
2019-01-14,s43,9
2019-01-14,s44,0
2019-01-14,s45,5
2019-01-14,s46,0
2019-01-14,s47,1
2019-01-14,s48,0
2019-01-14,s49,246
2019-01-14,s50,2
2019-01-14,s51,0
2019-01-14,s52,0
2019-01-14,s53,0
2019-01-14,s54,0
2019-01-14,s55,273
2019-01-14,s56,428
2019-01-15,s01,0
2019-01-15,s02,0
2019-01-15,s03,0
2019-01-15,s04,0
2019-01-15,s05,30
2019-01-15,s06,1000
2019-01-15,s07,6
2019-01-15,s08,0
2019-01-15,s10,2
2019-01-15,s11,1059
2019-01-15,s12,15
2019-01-15,s13,1
2019-01-15,s14,179
2019-01-15,s15,0
2019-01-15,s16,0
2019-01-15,s17,0
2019-01-15,s19,0
2019-01-15,s20,11
2019-01-15,s21,5023
2019-01-15,s22,387
2019-01-15,s23,352
2019-01-15,s24,253
2019-01-15,s25,0
2019-01-15,s26,0
2019-01-15,s27,0
2019-01-15,s28,333
2019-01-15,s29,1058
2019-01-15,s30,632
2019-01-15,s31,0
2019-01-15,s32,0
2019-01-15,s33,0
2019-01-15,s34,0
2019-01-15,s35,1
2019-01-15,s36,132
2019-01-15,s37,43
2019-01-15,s38,0
2019-01-15,s39,3
2019-01-15,s40,0
2019-01-15,s41,0
2019-01-15,s42,84
2019-01-15,s43,3
2019-01-15,s44,0
2019-01-15,s45,5
2019-01-15,s46,0
2019-01-15,s47,1
2019-01-15,s48,0
2019-01-15,s49,241
2019-01-15,s50,0
2019-01-15,s51,0
2019-01-15,s52,0
2019-01-15,s53,0
2019-01-15,s54,0
2019-01-15,s55,285
2019-01-15,s56,400
2019-01-16,s01,0
2019-01-16,s02,0
2019-01-16,s03,0
2019-01-16,s04,0
2019-01-16,s05,46
2019-01-16,s06,868
2019-01-16,s07,11
2019-01-16,s08,0
2019-01-16,s10,7
2019-01-16,s11,1058
2019-01-16,s12,6
2019-01-16,s13,0
2019-01-16,s14,166
2019-01-16,s15,2
2019-01-16,s16,0
2019-01-16,s17,0
2019-01-16,s19,0
2019-01-16,s20,13
2019-01-16,s21,4564
2019-01-16,s22,372
2019-01-16,s23,407
2019-01-16,s24,243
2019-01-16,s25,0
2019-01-16,s26,0
2019-01-16,s27,0
2019-01-16,s28,348
2019-01-16,s29,1059
2019-01-16,s30,615
2019-01-16,s31,0
2019-01-16,s32,0
2019-01-16,s33,2
2019-01-16,s34,0
2019-01-16,s35,0
2019-01-16,s36,138
2019-01-16,s37,34
2019-01-16,s38,0
2019-01-16,s39,3
2019-01-16,s40,0
